StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_11_TEXT,Q12,Q13,Q14,Q15,Q16,Q17,Q17_10_TEXT,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,(Official Use Only) ID,Please provide your WPI username in the textbox below.,Age,Gender,Are you left handed or right handed?,Do you have corrective lenses?,Are you wearing them now?,Do you have any visual impairments (such as color blindness)?,Is English your native language?,"Rate your ability as a computer gamer. (1 = Low Ability, 5 = High Ability)","Rate your ability with playing multiplayer network games. (1 = Low Ability, 5 = High Ability)",Select all the game types you are experienced with. (Multiple choices may be selected) - Selected Choice,Select all the game types you are experienced with. (Multiple choices may be selected) - Others (11) - Text,"How many hours a week, on average do you spend playing video games?",How much time today have you spent playing mouse-based video games before this experiment?,"How many hours a week, on average, do you use a mouse to play games?",Are you a digital artist?,How often do you practice digital artwork?,What is your field of study? (Multiple choices may be selected) - Selected Choice,What is your field of study? (Multiple choices may be selected) - Other (10) - Text,Are there any other factors that may affect your ability to control the cursor that you would like to let us know?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID22""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_11_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_10_TEXT""}","{""ImportId"":""QID20_TEXT""}"
2018-04-09 11:44:21,2018-04-09 12:03:41,0,130.215.24.212,100,1159,1,2018-04-09 12:03:41,R_1ln7AQYkqFaG6z1,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840901,bpmiletti,19,1,2,2,2,2,1,4,4,"1,2,3,7",,5,1,5,2,1,"3,5",,"The supplied mouse is not the model of mouse that I use, nor is the sensitivity of the mouse the same as the mouse I use on a daily basis. Factors that may affect the relative speed of this mouse compared to mine are the computer settings and monitor size relative to my own."
2018-04-09 11:42:00,2018-04-09 12:03:41,0,130.215.24.220,100,1300,1,2018-04-09 12:03:41,R_31XYjJD4BkDjyOE,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840902,mmohapatra,18,2,2,1,1,2,1,1,1,"4,5,6,7",,1,1,1,2,1,3,,
2018-04-09 12:15:24,2018-04-09 12:18:19,0,130.215.24.220,100,174,1,2018-04-09 12:18:20,R_1kNv0ZiysGLRVck,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840903,abalasubramanian,18,1,2,1,1,2,1,2,2,"4,5,9",,2,2,1,2,1,"6,10",Math,
2018-04-09 12:37:26,2018-04-09 12:38:44,0,130.215.24.220,100,78,1,2018-04-09 12:38:44,R_0uH8qSRuKBpTjKV,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840905,cwolanin,20,1,2,2,2,2,1,5,5,"1,2,6",,4,1,4,2,1,"3,5",,Hi Bhon
2018-04-09 11:41:41,2018-04-09 12:38:54,0,130.215.24.214,100,3433,1,2018-04-09 12:38:54,R_3Pw92KzuJ897AqG,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840906,djin2,20,1,2,1,1,2,1,4,4,"1,8",,2,1,2,2,1,3,,
2018-04-09 12:16:58,2018-04-09 12:51:54,0,130.215.24.212,100,2096,1,2018-04-09 12:51:54,R_28RFjvQ1dG5TcYF,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840904,gdotteni,20,1,3,2,2,2,1,4,4,"1,3,4,5,6,7,8",,4,1,4,2,1,"3,6",,
2018-04-09 12:51:55,2018-04-09 13:00:34,0,130.215.24.212,100,518,1,2018-04-09 13:00:34,R_2PdmXTrvQlXj2Ov,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840907,acnolan,19,1,2,2,2,2,1,4,4,"1,4,5,6,7",,4,2,4,2,1,6,,Nope
2018-04-09 12:51:57,2018-04-09 13:04:16,0,130.215.24.220,100,739,1,2018-04-09 13:04:17,R_1kRZdFJkYpoYnaA,,,,,42.285705566406,-71.829200744629,anonymous,EN,1840908,zuberry,19,1,2,2,2,2,1,5,5,"1,3,6,7,8,9",,3,1,3,2,1,6,,
