Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461674039,0.000000,8.000000,0.917695,1.554733,1,290
1461674046,0.000000,8.000000,0.512346,2.495468,2,1083
1461674052,150.000000,12.000000,-1.000000,12.799011,6,8351
1461674067,300.000000,12.000000,-1.000000,30.001022,9,11269
1461674100,175.000000,8.000000,0.310014,16.425980,11,6050
1461674121,125.000000,8.000000,0.496571,17.306213,11,4515
1461674145,150.000000,8.000000,-1.000000,11.012756,7,2842
1461674158,200.000000,4.000000,-1.000000,9.739136,20,3398
1461674170,200.000000,12.000000,-1.000000,30.001160,49,16031
1461674209,75.000000,12.000000,-1.000000,5.129730,5,3045
1461674215,50.000000,12.000000,-1.000000,3.447815,5,1422
1461674220,50.000000,12.000000,-1.000000,1.568420,2,365
1461674222,50.000000,8.000000,-1.000000,2.762329,1,536
1461674225,0.000000,4.000000,0.505487,1.253815,2,608
1461674230,50.000000,8.000000,0.768176,0.747345,1,241
1461674232,25.000000,4.000000,-1.000000,1.113922,1,738
1461674234,175.000000,8.000000,-1.000000,3.699860,2,1570
1461674238,200.000000,8.000000,-1.000000,15.181885,21,6615
1461674254,125.000000,12.000000,-1.000000,2.685059,4,530
1461674257,400.000000,12.000000,-1.000000,5.178223,3,1642
1461674263,100.000000,12.000000,-1.000000,4.510315,14,1774
1461674268,0.000000,4.000000,-1.000000,1.812439,2,440
1461674270,175.000000,8.000000,-1.000000,7.169128,11,3118
1461674278,150.000000,4.000000,-1.000000,1.700562,1,437
1461674280,125.000000,8.000000,-1.000000,3.151123,2,659
1461674284,400.000000,8.000000,-1.000000,23.311859,23,5895
1461674315,75.000000,12.000000,-1.000000,2.801300,2,596
1461674318,25.000000,12.000000,-1.000000,3.695831,2,916
1461674322,75.000000,8.000000,-1.000000,2.068268,3,857
1461674325,200.000000,12.000000,-1.000000,17.262054,12,1886
1461674363,400.000000,4.000000,0.312071,6.872375,5,1403
1461674373,125.000000,8.000000,-1.000000,8.745270,7,1754
1461674383,200.000000,8.000000,-1.000000,17.007080,9,4524
1461674400,200.000000,4.000000,-1.000000,4.098022,4,749
1461674405,100.000000,4.000000,-1.000000,0.924133,1,537
1461674406,200.000000,4.000000,-1.000000,1.863098,7,745
1461674409,50.000000,12.000000,-1.000000,1.645386,7,854
1461674411,50.000000,8.000000,-1.000000,1.734497,8,1540
1461674413,75.000000,12.000000,0.621399,2.217834,4,1468
1461674417,175.000000,4.000000,-1.000000,1.319214,1,355
1461674419,125.000000,12.000000,0.414952,10.960876,26,5159
1461674431,400.000000,12.000000,-1.000000,30.001099,58,8492
1461674465,0.000000,8.000000,-1.000000,1.603210,2,588
1461674467,175.000000,12.000000,-1.000000,1.264648,5,920
1461674469,150.000000,8.000000,-1.000000,4.062317,15,2638
1461674474,300.000000,8.000000,0.434842,7.922974,27,6230
1461674483,75.000000,4.000000,-1.000000,1.724182,2,592
1461674485,300.000000,8.000000,-1.000000,5.002136,4,2724
1461674490,400.000000,4.000000,-1.000000,3.789246,7,1629
1461674495,200.000000,8.000000,0.593278,2.732727,3,1545
1461674499,100.000000,4.000000,-1.000000,1.116699,1,183
1461674501,25.000000,12.000000,0.399177,5.699951,6,2267
1461674511,400.000000,8.000000,0.380658,11.385681,9,5138
1461674524,75.000000,12.000000,-1.000000,4.189270,12,2308
1461674529,50.000000,4.000000,-1.000000,1.418396,1,566
1461674531,200.000000,8.000000,-1.000000,4.041199,8,3030
1461674535,300.000000,12.000000,-1.000000,30.001465,25,10505
1461674568,100.000000,12.000000,-1.000000,4.618225,7,2286
1461674573,50.000000,4.000000,0.787380,0.968018,1,514
1461674576,300.000000,8.000000,-1.000000,9.926575,13,5555
1461674607,125.000000,4.000000,-1.000000,1.306580,1,273
1461674609,75.000000,8.000000,-1.000000,2.751526,3,1167
1461674612,0.000000,8.000000,-1.000000,2.318665,2,793
1461674615,300.000000,4.000000,-1.000000,4.656128,12,1806
1461674620,125.000000,4.000000,-1.000000,2.060242,1,360
1461674623,400.000000,4.000000,-1.000000,1.493103,1,601
1461674625,100.000000,8.000000,-1.000000,1.798401,1,597
1461674627,0.000000,4.000000,-1.000000,0.870728,1,117
1461674629,150.000000,8.000000,0.821674,14.891113,15,3866
1461674646,25.000000,8.000000,-1.000000,1.077332,1,324
1461674648,50.000000,4.000000,-1.000000,1.874329,1,488
1461674650,25.000000,4.000000,-1.000000,0.656982,1,457
1461674651,125.000000,12.000000,-1.000000,3.372559,1,1289
1461674655,400.000000,4.000000,-1.000000,2.472534,2,732
1461674658,0.000000,4.000000,-1.000000,1.085144,2,196
1461674660,75.000000,12.000000,-1.000000,2.851013,3,1562
1461674663,100.000000,4.000000,0.801783,1.526062,1,604
1461674667,175.000000,12.000000,0.643347,13.234558,41,8841
1461674682,175.000000,4.000000,-1.000000,3.612549,7,1816
1461674686,75.000000,8.000000,0.616598,3.159790,8,1440
1461674692,300.000000,12.000000,-1.000000,27.295654,42,12161
1461674720,25.000000,4.000000,0.656379,1.892395,1,202
1461674724,0.000000,8.000000,-1.000000,1.644470,1,558
1461674726,175.000000,12.000000,-1.000000,6.353394,21,5010
1461674733,50.000000,8.000000,-1.000000,1.221985,1,670
1461674735,0.000000,12.000000,0.704390,0.861694,2,336
1461674737,150.000000,4.000000,-1.000000,2.178406,5,1586
1461674741,200.000000,12.000000,-1.000000,3.122375,7,2064
1461674745,75.000000,4.000000,0.572016,1.351135,2,603
