Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461674037,0.000000,8.000000,0.895748,0.980865,1,452
1461674043,0.000000,8.000000,0.914266,1.047195,1,336
1461674046,150.000000,12.000000,-1.000000,15.622482,8,11546
1461674062,300.000000,12.000000,-1.000000,30.001175,8,18774
1461674093,175.000000,8.000000,0.359396,20.624985,13,9156
1461674116,125.000000,8.000000,0.524691,4.893250,3,1291
1461674124,150.000000,8.000000,-1.000000,6.886078,4,2208
1461674132,200.000000,4.000000,-1.000000,3.246887,1,653
1461674136,200.000000,12.000000,-1.000000,30.001343,11,14961
1461674167,75.000000,12.000000,-1.000000,2.136566,1,851
1461674170,50.000000,12.000000,-1.000000,2.088318,2,887
1461674172,50.000000,12.000000,-1.000000,5.311798,3,1952
1461674178,50.000000,8.000000,-1.000000,2.790131,1,1631
1461674181,0.000000,4.000000,0.713992,1.950470,3,1034
1461674185,50.000000,8.000000,0.920439,3.704346,1,4531
1461674190,25.000000,4.000000,-1.000000,2.040619,1,1014
1461674193,175.000000,8.000000,-1.000000,14.742096,4,5281
1461674208,200.000000,8.000000,-1.000000,9.416229,7,3468
1461674218,125.000000,12.000000,-1.000000,8.898376,8,2984
1461674228,400.000000,12.000000,-1.000000,30.000092,8,12546
1461674259,100.000000,12.000000,-1.000000,2.329865,1,1142
1461674262,0.000000,4.000000,-1.000000,1.257446,1,296
1461674263,175.000000,8.000000,-1.000000,23.321808,11,7963
1461674287,150.000000,4.000000,-1.000000,2.285004,2,1393
1461674290,125.000000,8.000000,-1.000000,3.047852,2,846
1461674294,400.000000,8.000000,-1.000000,25.789948,18,12055
1461674320,75.000000,12.000000,-1.000000,1.491180,1,700
1461674322,25.000000,12.000000,-1.000000,2.281067,1,514
1461674325,75.000000,8.000000,-1.000000,5.504791,10,2549
1461674331,200.000000,12.000000,-1.000000,17.698456,24,11235
1461674372,400.000000,4.000000,0.355967,17.933655,21,8960
1461674392,125.000000,8.000000,-1.000000,4.851929,1,2930
1461674398,200.000000,8.000000,-1.000000,10.698120,11,6425
1461674409,200.000000,4.000000,-1.000000,4.003479,5,1505
1461674413,100.000000,4.000000,-1.000000,2.415222,1,1784
1461674416,200.000000,4.000000,-1.000000,0.631714,1,271
1461674417,50.000000,12.000000,-1.000000,0.761719,2,654
1461674418,50.000000,8.000000,-1.000000,0.816772,2,600
1461674420,75.000000,12.000000,0.710562,1.565002,5,1608
1461674423,175.000000,4.000000,-1.000000,2.172974,4,1106
1461674425,125.000000,12.000000,0.695473,2.511963,3,1439
1461674429,400.000000,12.000000,-1.000000,30.000305,17,18070
1461674460,0.000000,8.000000,-1.000000,0.548828,1,96
1461674461,175.000000,12.000000,-1.000000,5.044983,12,3492
1461674466,150.000000,8.000000,-1.000000,1.336670,2,1079
1461674468,300.000000,8.000000,0.696845,14.228516,23,10029
1461674484,75.000000,4.000000,-1.000000,1.950867,3,625
1461674486,300.000000,8.000000,-1.000000,30.001648,39,19521
1461674517,400.000000,4.000000,-1.000000,12.131714,13,6382
1461674529,200.000000,8.000000,0.479424,5.164795,11,3280
1461674537,100.000000,4.000000,-1.000000,1.442261,2,893
1461674539,25.000000,12.000000,0.683813,1.658264,1,784
1461674543,400.000000,8.000000,0.126886,30.001221,20,27205
1461674575,75.000000,12.000000,-1.000000,2.698730,5,2929
1461674578,50.000000,4.000000,-1.000000,1.291687,1,582
1461674580,200.000000,8.000000,-1.000000,13.241455,23,8409
1461674594,300.000000,12.000000,-1.000000,30.001343,36,20515
1461674624,100.000000,12.000000,-1.000000,12.709717,19,8767
1461674637,50.000000,4.000000,0.934156,2.194641,4,1190
1461674641,300.000000,8.000000,-1.000000,10.448059,14,8959
1461674673,125.000000,4.000000,-1.000000,1.126099,1,376
1461674675,75.000000,8.000000,-1.000000,4.876709,9,2773
1461674680,0.000000,8.000000,-1.000000,1.385315,3,535
