Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461184953,0.000000,8.000000,0.700960,2.066635,1,3127
1461184971,0.000000,8.000000,0.702332,1.450005,1,1764
1461184978,200.000000,12.000000,-1.000000,26.282524,6,42881
1461185007,150.000000,4.000000,-1.000000,4.449860,3,4494
1461185013,75.000000,8.000000,-1.000000,1.433273,1,1175
1461185016,150.000000,4.000000,-1.000000,2.416519,2,1857
1461185019,75.000000,4.000000,0.126200,1.983261,4,1078
1461185025,50.000000,4.000000,-1.000000,1.383240,1,1566
1461185027,75.000000,12.000000,0.704390,0.949982,1,449
1461185030,200.000000,4.000000,-1.000000,2.799896,3,1093
1461185034,300.000000,8.000000,0.274348,6.533188,12,2908
1461185044,175.000000,8.000000,0.625514,3.766571,9,2466
1461185050,75.000000,12.000000,-1.000000,1.699905,4,563
1461185053,25.000000,4.000000,0.596022,2.283249,4,74
1461185057,100.000000,4.000000,0.500000,1.433273,1,761
1461185061,175.000000,12.000000,-1.000000,5.183182,7,2345
1461185067,300.000000,12.000000,-1.000000,28.849258,25,31943
1461185097,400.000000,4.000000,-1.000000,1.016678,1,491
1461185099,200.000000,8.000000,0.549383,2.749908,3,1178
1461185105,25.000000,4.000000,-1.000000,1.183258,2,452
1461185107,300.000000,8.000000,-1.000000,4.216492,3,2337
1461185112,75.000000,8.000000,0.501372,0.649994,1,118
1461185114,150.000000,12.000000,0.499314,1.849915,1,1336
1461185118,50.000000,4.000000,-1.000000,1.083282,1,599
1461185121,0.000000,4.000000,-1.000000,1.016632,1,568
1461185122,100.000000,4.000000,-1.000000,1.949982,2,911
1461185125,75.000000,4.000000,-1.000000,1.283325,1,587
1461185126,100.000000,12.000000,0.698217,1.116669,1,439
1461185130,175.000000,12.000000,-1.000000,2.099945,2,1127
1461185133,300.000000,12.000000,-1.000000,3.866547,4,1732
1461185159,175.000000,4.000000,-1.000000,2.683167,1,2142
1461185162,0.000000,4.000000,-1.000000,0.483368,1,124
1461185163,125.000000,4.000000,-1.000000,2.033203,2,1147
1461185166,300.000000,12.000000,0.471193,9.433044,14,5404
1461185177,300.000000,12.000000,-1.000000,0.799957,1,137
1461185179,50.000000,4.000000,-1.000000,1.283234,1,623
1461185180,0.000000,12.000000,0.513717,1.000000,1,1014
1461185183,400.000000,8.000000,-1.000000,4.149811,6,1716
1461185188,0.000000,4.000000,-1.000000,1.033905,1,1183
1461185189,25.000000,8.000000,-1.000000,1.099945,1,695
1461185191,25.000000,8.000000,-1.000000,1.266602,1,937
1461185193,400.000000,8.000000,0.501372,13.999634,9,19748
1461185209,125.000000,8.000000,-1.000000,2.266602,2,1038
1461185211,175.000000,8.000000,-1.000000,2.383270,2,1133
1461185214,400.000000,12.000000,-1.000000,30.015900,15,29288
1461185246,125.000000,12.000000,-1.000000,2.249908,3,1630
1461185249,125.000000,8.000000,0.689300,2.566620,2,1395
1461185254,300.000000,4.000000,0.555556,6.149811,5,2093
1461185261,175.000000,8.000000,-1.000000,1.233337,1,127
1461185263,0.000000,4.000000,0.698903,1.333374,1,301
1461185266,50.000000,8.000000,0.691358,0.949951,1,111
1461185269,150.000000,8.000000,-1.000000,2.433258,1,905
1461185272,400.000000,4.000000,-1.000000,4.166656,1,2566
1461185277,100.000000,12.000000,-1.000000,2.883240,5,1351
1461185280,50.000000,4.000000,0.724966,1.883270,1,470
