Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461073283,0.000000,8.000000,0.913580,1.256592,4,879
1461073290,0.000000,8.000000,0.706447,0.722824,2,211
1461073296,300.000000,8.000000,-1.000000,10.992310,51,11422
1461073308,75.000000,4.000000,-1.000000,1.422043,2,450
1461073311,100.000000,8.000000,-1.000000,3.025208,14,2466
1461073314,400.000000,8.000000,0.101509,10.268707,49,9114
1461073328,150.000000,4.000000,-1.000000,1.176697,2,695
1461073330,150.000000,4.000000,-1.000000,1.315369,3,631
1461073332,400.000000,8.000000,-1.000000,1.963562,3,1874
1461073334,25.000000,12.000000,0.302469,5.961655,32,5211
1461073344,175.000000,4.000000,-1.000000,1.154709,3,723
1461073345,125.000000,4.000000,-1.000000,0.671585,1,379
1461073347,75.000000,12.000000,-1.000000,0.703003,2,783
1461073348,100.000000,12.000000,-1.000000,6.107040,30,5761
1461073355,25.000000,4.000000,-1.000000,0.944901,1,248
1461073357,125.000000,12.000000,-1.000000,2.099121,4,1507
1461073360,175.000000,4.000000,-1.000000,1.332001,2,623
1461073362,100.000000,8.000000,-1.000000,0.916855,1,303
1461073363,75.000000,8.000000,-1.000000,3.506180,13,2670
1461073367,175.000000,8.000000,-1.000000,2.421356,10,1666
1461073370,175.000000,12.000000,-1.000000,5.395447,24,5429
1461073376,100.000000,4.000000,-1.000000,0.929718,1,230
1461073378,75.000000,4.000000,-1.000000,1.039032,2,689
1461073379,400.000000,4.000000,0.500686,5.009674,18,2673
1461073391,175.000000,12.000000,0.482853,0.997345,4,746
1461073395,0.000000,4.000000,-1.000000,1.234924,3,1037
1461073397,150.000000,12.000000,-1.000000,6.630676,25,5676
1461073404,175.000000,8.000000,-1.000000,1.191101,2,820
1461073406,400.000000,12.000000,-1.000000,5.526703,20,4024
1461073413,150.000000,4.000000,-1.000000,1.195374,1,186
1461073436,50.000000,12.000000,-1.000000,2.578949,11,2011
1461073439,75.000000,8.000000,0.832647,0.830139,1,499
1461073446,75.000000,12.000000,-1.000000,5.310120,26,4714
1461073452,0.000000,12.000000,-1.000000,2.544128,13,1970
1461073455,400.000000,12.000000,-1.000000,10.413971,45,7138
1461073466,125.000000,8.000000,-1.000000,1.498199,3,691
1461073468,25.000000,8.000000,0.503429,1.253326,5,1057
1461073474,300.000000,12.000000,-1.000000,7.750824,37,6036
1461073482,25.000000,4.000000,-1.000000,0.800446,1,378
1461073484,150.000000,4.000000,0.532236,1.013733,1,391
1461073489,25.000000,4.000000,-1.000000,1.004730,4,447
1461073490,400.000000,12.000000,-1.000000,22.324127,110,13372
1461073513,175.000000,8.000000,0.520576,1.689697,5,1371
1461073520,100.000000,8.000000,-1.000000,1.948059,8,1610
1461073523,25.000000,12.000000,-1.000000,3.383606,17,3459
1461073527,50.000000,8.000000,-1.000000,1.298706,6,1116
1461073529,75.000000,12.000000,-1.000000,1.454315,7,1456
1461073530,125.000000,12.000000,-1.000000,1.910614,9,1529
1461073533,75.000000,8.000000,-1.000000,0.912262,4,510
1461073534,50.000000,4.000000,-1.000000,0.737579,3,521
1461073535,25.000000,8.000000,-1.000000,0.887634,4,504
1461073537,25.000000,12.000000,-1.000000,1.022797,5,984
1461073539,50.000000,4.000000,-1.000000,0.678589,3,667
1461073540,200.000000,4.000000,-1.000000,1.213593,4,732
1461073542,150.000000,8.000000,-1.000000,3.266205,15,2290
1461073545,175.000000,4.000000,-1.000000,0.859924,3,299
1461073547,50.000000,8.000000,-1.000000,1.247314,6,953
1461073548,125.000000,4.000000,-1.000000,0.802032,3,377
1461073549,150.000000,8.000000,-1.000000,1.175354,5,727
1461073551,0.000000,4.000000,0.703704,1.023438,5,551
1461073574,175.000000,8.000000,-1.000000,3.290222,11,1778
1461073578,0.000000,12.000000,-1.000000,0.696320,3,447
1461073579,125.000000,12.000000,-1.000000,7.816376,42,8334
1461073588,75.000000,8.000000,-1.000000,0.707489,2,607
1461073589,300.000000,8.000000,-1.000000,0.943604,3,1059
1461073590,100.000000,8.000000,-1.000000,1.935791,9,1408
1461073592,175.000000,12.000000,-1.000000,6.862335,32,5970
1461073600,150.000000,12.000000,0.326475,4.367096,23,3583
1461073607,300.000000,4.000000,0.301783,1.006226,5,497
1461073610,175.000000,12.000000,-1.000000,2.418549,11,1951
1461073613,75.000000,12.000000,0.515775,1.840515,10,2103
1461073617,200.000000,4.000000,-1.000000,1.489105,6,1036
1461073619,150.000000,8.000000,-1.000000,1.874481,9,937
1461073621,0.000000,12.000000,-1.000000,0.955719,5,776
1461073622,0.000000,8.000000,0.497942,0.682648,4,269
1461073624,25.000000,4.000000,0.703018,0.699951,3,494
1461073627,50.000000,4.000000,-1.000000,0.843872,3,586
1461073628,0.000000,8.000000,-1.000000,1.215637,6,768
1461073629,150.000000,12.000000,-1.000000,4.453003,21,3977
1461073634,0.000000,12.000000,0.697531,1.245728,6,719
1461073639,200.000000,12.000000,-1.000000,4.399292,20,3356
1461073644,150.000000,12.000000,-1.000000,5.061951,24,5270
1461073649,0.000000,4.000000,-1.000000,0.882263,3,588
1461073651,175.000000,8.000000,-1.000000,1.968018,8,1627
1461073653,300.000000,4.000000,-1.000000,2.515442,8,1388
1461073656,400.000000,12.000000,-1.000000,5.800781,26,2975
1461073662,100.000000,12.000000,-1.000000,1.892029,9,1440
1461073665,300.000000,12.000000,-1.000000,25.765686,135,16061
1461073691,100.000000,4.000000,-1.000000,1.066345,1,449
1461073693,50.000000,12.000000,-1.000000,2.141418,10,1744
1461073716,50.000000,12.000000,-1.000000,2.321838,11,2213
1461073719,150.000000,8.000000,0.876543,1.015381,4,801
1461073724,200.000000,12.000000,-1.000000,20.741272,112,17396
1461073745,300.000000,4.000000,-1.000000,2.253052,7,1306
1461073748,200.000000,8.000000,-1.000000,0.815979,3,258
1461073749,150.000000,8.000000,-1.000000,1.203186,5,709
1461073750,125.000000,8.000000,-1.000000,0.968201,4,469
1461073752,75.000000,4.000000,-1.000000,1.301636,4,869
1461073753,300.000000,8.000000,-1.000000,1.120728,3,1058
1461073755,200.000000,8.000000,0.617970,1.286621,5,687
1461073760,50.000000,8.000000,0.938272,0.664551,3,402
1461073763,400.000000,8.000000,-1.000000,11.949341,55,8272
1461073776,125.000000,4.000000,-1.000000,1.472534,2,773
1461073778,200.000000,12.000000,-1.000000,0.520569,1,153
1461073779,400.000000,4.000000,-1.000000,4.785095,13,1757
1461073784,100.000000,12.000000,-1.000000,2.609314,9,2220
1461073787,125.000000,12.000000,-1.000000,1.112793,4,1420
1461073789,150.000000,12.000000,-1.000000,1.111328,5,865
1461073790,200.000000,8.000000,-1.000000,3.220825,15,2091
1461073794,400.000000,4.000000,-1.000000,3.730896,13,1867
1461073798,50.000000,8.000000,-1.000000,2.046326,9,1317
1461073800,0.000000,4.000000,-1.000000,0.580078,3,434
1461073801,25.000000,12.000000,-1.000000,0.636719,3,281
1461073802,125.000000,8.000000,0.716735,1.172729,6,600
1461073806,50.000000,4.000000,-1.000000,1.106750,4,864
1461073807,125.000000,8.000000,-1.000000,0.836182,3,691
1461073808,0.000000,8.000000,-1.000000,0.601868,2,622
1461073809,50.000000,12.000000,-1.000000,0.642090,3,626
1461073810,200.000000,4.000000,-1.000000,1.392456,5,687
1461073812,300.000000,8.000000,0.502058,1.335327,7,988
1461073836,0.000000,12.000000,-1.000000,1.247620,5,1133
1461073838,100.000000,12.000000,-1.000000,2.266052,12,2148
1461073841,300.000000,4.000000,-1.000000,0.946655,2,466
1461073842,400.000000,8.000000,-1.000000,1.262207,4,585
1461073844,25.000000,4.000000,-1.000000,1.541321,7,690
1461073846,200.000000,8.000000,-1.000000,2.842224,15,2096
1461073849,50.000000,4.000000,0.690672,1.091187,6,642
1461073856,150.000000,4.000000,-1.000000,0.967712,2,517
1461073857,75.000000,8.000000,-1.000000,2.010681,10,1664
1461073860,125.000000,4.000000,0.496571,1.346497,8,1020
1461073863,300.000000,12.000000,0.320302,12.631836,69,11925
1461073877,200.000000,4.000000,-1.000000,0.916687,2,475
1461073878,400.000000,8.000000,-1.000000,4.654846,22,3778
1461073883,400.000000,4.000000,-1.000000,1.628113,7,1259
1461073885,175.000000,4.000000,-1.000000,1.500000,5,841
1461073887,25.000000,8.000000,-1.000000,0.678406,3,745
1461073888,25.000000,8.000000,-1.000000,1.162109,6,710
1461073890,125.000000,4.000000,-1.000000,0.704712,3,327
1461073891,0.000000,4.000000,-1.000000,0.666077,4,359
1461073892,200.000000,8.000000,-1.000000,0.614685,3,252
1461073893,0.000000,8.000000,-1.000000,1.013123,5,321
1461073895,100.000000,4.000000,0.527435,1.177429,6,534
1461073898,100.000000,8.000000,0.506859,0.735107,3,162
1461073901,300.000000,8.000000,-1.000000,8.866089,45,5830
1461073911,100.000000,12.000000,0.701646,0.871094,4,960
1461073914,75.000000,12.000000,-1.000000,1.303528,6,1486
1461073916,100.000000,4.000000,-1.000000,0.731384,3,484
1461073917,75.000000,4.000000,0.888889,0.844360,6,406
1461073920,400.000000,4.000000,-1.000000,2.104797,8,1475
1461073922,100.000000,4.000000,-1.000000,0.905762,6,449
1461073944,200.000000,4.000000,0.316872,1.658264,7,967
1461073948,400.000000,12.000000,0.140604,4.059021,21,4041
1461073955,125.000000,12.000000,0.334705,5.434875,30,5571
1461073961,300.000000,12.000000,-1.000000,3.615967,17,3413
1461073965,125.000000,8.000000,-1.000000,2.402588,12,1855
1461073968,50.000000,8.000000,-1.000000,0.796875,3,760
1461073969,0.000000,8.000000,-1.000000,0.974670,5,867
1461073971,300.000000,4.000000,-1.000000,1.395935,6,622
1461073973,50.000000,12.000000,0.486283,0.521301,4,191
1461073975,200.000000,12.000000,0.322359,13.866089,75,11292
1461073991,75.000000,4.000000,-1.000000,1.148193,3,688
1461073992,300.000000,12.000000,-1.000000,20.627441,106,14921
1461074014,175.000000,4.000000,0.521948,1.174316,5,849
1461074017,25.000000,12.000000,-1.000000,1.367798,7,1001
1461074019,25.000000,8.000000,-1.000000,0.786499,3,449
1461074020,200.000000,12.000000,-1.000000,5.422913,27,4576
1461074026,175.000000,12.000000,-1.000000,4.100586,21,3032
