Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1461674038,0.000000,8.000000,0.921125,0.853149,1,303
1461674046,0.000000,8.000000,0.924554,0.937500,1,174
1461674051,75.000000,12.000000,-1.000000,2.045212,4,1770
1461674055,125.000000,12.000000,0.312071,8.978485,15,8846
1461674069,200.000000,8.000000,-1.000000,10.279755,8,7394
1461674082,300.000000,12.000000,-1.000000,30.000198,14,28088
1461674113,300.000000,4.000000,0.325789,5.333374,3,1952
1461674125,100.000000,12.000000,-1.000000,13.478119,15,10263
1461674141,400.000000,4.000000,-1.000000,11.082657,21,4685
1461674153,300.000000,8.000000,-1.000000,25.081696,66,18631
1461674180,300.000000,12.000000,-1.000000,29.876495,82,30738
1461674212,175.000000,4.000000,-1.000000,3.358582,11,1518
1461674217,400.000000,8.000000,-1.000000,7.866760,26,6132
1461674226,0.000000,8.000000,-1.000000,1.734924,4,957
1461674229,75.000000,8.000000,-1.000000,1.890381,4,862
1461674232,50.000000,12.000000,0.674897,1.522400,2,989
1461674236,125.000000,8.000000,-1.000000,2.393036,10,1176
1461674239,25.000000,12.000000,0.434156,1.662018,2,843
1461674242,200.000000,12.000000,0.739369,2.187958,4,1445
1461674248,100.000000,4.000000,-1.000000,1.443481,2,639
1461674251,75.000000,4.000000,-1.000000,0.857483,1,113
1461674252,100.000000,4.000000,-1.000000,1.121643,1,212
1461674254,400.000000,8.000000,0.121399,4.536011,14,4626
1461674260,150.000000,8.000000,-1.000000,2.433655,6,2443
1461674263,400.000000,4.000000,-1.000000,11.136505,29,6571
1461674275,150.000000,12.000000,-1.000000,8.576172,19,6378
1461674285,175.000000,12.000000,-1.000000,4.263611,11,3944
1461674290,0.000000,8.000000,-1.000000,1.470673,2,828
1461674292,0.000000,12.000000,-1.000000,1.147552,1,448
1461674294,25.000000,4.000000,-1.000000,0.952698,1,516
1461674317,400.000000,12.000000,-1.000000,30.000488,98,36340
1461674348,300.000000,12.000000,-1.000000,11.428680,28,11334
1461674361,75.000000,4.000000,-1.000000,0.954742,1,500
1461674363,75.000000,12.000000,-1.000000,1.826904,4,1374
1461674365,150.000000,4.000000,0.715364,0.923126,2,597
1461674367,100.000000,8.000000,0.831962,1.216003,1,996
1461674371,200.000000,12.000000,-1.000000,8.348480,32,9050
1461674380,300.000000,12.000000,-1.000000,11.190735,36,14324
1461674392,0.000000,12.000000,-1.000000,6.442688,30,5189
1461674399,25.000000,12.000000,-1.000000,1.421783,3,1392
1461674401,200.000000,4.000000,0.682442,1.402924,1,571
1461674405,0.000000,12.000000,-1.000000,4.604309,10,2886
1461674410,50.000000,12.000000,-1.000000,4.609558,16,4621
1461674416,50.000000,8.000000,-1.000000,0.705322,1,578
1461674417,100.000000,12.000000,-1.000000,4.143372,22,4447
1461674422,50.000000,8.000000,0.690672,0.788086,4,443
1461674425,75.000000,12.000000,0.932785,0.662231,3,485
1461674427,50.000000,4.000000,0.718793,0.964722,1,450
1461674430,125.000000,8.000000,-1.000000,2.803589,9,2205
1461674433,150.000000,4.000000,-1.000000,2.207031,8,1102
1461674436,150.000000,8.000000,0.921811,1.089539,3,459
1461674438,200.000000,4.000000,-1.000000,1.671021,2,1086
1461674440,25.000000,4.000000,0.916324,1.055725,2,647
1461674443,125.000000,8.000000,0.897805,0.887451,1,488
1461674445,150.000000,8.000000,-1.000000,1.880005,3,1546
1461674447,0.000000,4.000000,-1.000000,0.625122,1,266
1461674449,175.000000,12.000000,-1.000000,8.939331,34,9355
1461674458,175.000000,4.000000,-1.000000,1.640381,1,587
1461674460,100.000000,4.000000,0.533608,1.920349,4,502
1461674464,125.000000,12.000000,-1.000000,2.320251,3,2017
1461674488,300.000000,4.000000,-1.000000,4.529602,14,1551
1461674493,300.000000,12.000000,0.108368,6.078674,24,5298
1461674501,100.000000,8.000000,-1.000000,2.109558,3,1310
1461674504,0.000000,4.000000,-1.000000,0.908569,1,269
1461674505,300.000000,4.000000,-1.000000,3.237061,3,1759
1461674509,25.000000,8.000000,-1.000000,1.924866,8,725
1461674512,400.000000,12.000000,-1.000000,3.751404,8,3590
1461674516,0.000000,8.000000,-1.000000,1.599792,3,577
1461674518,200.000000,12.000000,-1.000000,4.421387,10,3452
