Time,Delay,Impulse,Response,Elapsed,Clicks,Mouse
1460754528,0.000000,8.000000,0.843621,1.383331,2,579
1460754544,0.000000,8.000000,0.925926,1.349998,1,573
1460754558,75.000000,4.000000,-1.000000,0.799973,2,140
1460754560,75.000000,8.000000,0.554184,1.483337,2,848
1460754566,400.000000,12.000000,-1.000000,9.749718,14,7597
1460754577,100.000000,4.000000,-1.000000,1.133301,1,504
1460754580,25.000000,4.000000,-1.000000,0.999939,2,380
1460754583,0.000000,8.000000,-1.000000,0.766647,1,507
1460754584,300.000000,8.000000,-1.000000,4.266525,5,2030
1460754589,400.000000,4.000000,-1.000000,1.199966,1,248
1460754591,50.000000,4.000000,-1.000000,1.049973,2,330
1460754593,400.000000,8.000000,-1.000000,4.083374,3,1626
1460754598,400.000000,4.000000,-1.000000,2.916534,1,916
1460754601,125.000000,8.000000,-1.000000,1.816544,5,709
1460754604,100.000000,12.000000,0.515775,2.749863,8,1442
1460754612,50.000000,12.000000,-1.000000,1.183258,3,495
1460754614,100.000000,12.000000,-1.000000,0.933304,1,375
1460754616,200.000000,8.000000,-1.000000,4.533218,9,1934
1460754621,25.000000,12.000000,-1.000000,1.949936,4,1373
1460754623,75.000000,8.000000,-1.000000,1.283249,2,821
1460754625,125.000000,8.000000,0.516461,1.999908,2,1200
1460754630,75.000000,12.000000,-1.000000,1.016647,2,343
1460754632,300.000000,4.000000,-1.000000,2.849899,3,1259
1460754635,0.000000,4.000000,-1.000000,1.033325,1,727
1460754637,125.000000,4.000000,-1.000000,1.516632,2,663
1460754639,25.000000,4.000000,-1.000000,0.683212,1,477
1460754641,125.000000,8.000000,-1.000000,1.216629,2,618
1460754642,175.000000,8.000000,-1.000000,1.666595,3,858
1460754645,200.000000,8.000000,0.299040,0.815903,2,298
1460754648,400.000000,8.000000,-1.000000,4.599838,11,3034
1460754675,150.000000,12.000000,-1.000000,1.116608,2,490
1460754677,0.000000,8.000000,-1.000000,0.983307,3,326
1460754679,0.000000,4.000000,-1.000000,0.916641,2,907
1460754680,50.000000,4.000000,0.351166,1.683243,3,800
1460754684,125.000000,4.000000,-1.000000,1.649933,3,861
1460754686,25.000000,12.000000,-1.000000,0.666580,1,505
1460754688,400.000000,8.000000,-1.000000,3.883240,3,2221
1460754692,50.000000,4.000000,-1.000000,1.883240,4,797
1460754695,0.000000,4.000000,0.513717,0.716614,1,710
1460754697,25.000000,4.000000,-1.000000,1.016525,2,390
1460754699,150.000000,12.000000,-1.000000,1.166626,1,384
1460754700,125.000000,4.000000,-1.000000,0.966583,1,292
1460754702,0.000000,12.000000,-1.000000,0.983353,2,467
1460754703,400.000000,12.000000,-1.000000,1.683258,2,1215
1460754706,175.000000,12.000000,0.497257,1.466797,5,612
1460754709,400.000000,12.000000,0.510288,1.099976,3,167
1460754714,200.000000,12.000000,0.574760,2.033295,5,198
1460754720,75.000000,4.000000,0.624143,0.716583,1,149
1460754723,125.000000,4.000000,-1.000000,1.483337,4,687
1460754725,150.000000,4.000000,-1.000000,1.483307,3,664
1460754728,300.000000,8.000000,-1.000000,2.933197,5,1821
1460754731,25.000000,8.000000,-1.000000,0.599945,1,162
1460754733,125.000000,12.000000,-1.000000,0.683289,1,261
1460754734,200.000000,4.000000,-1.000000,1.633240,2,1167
1460754736,200.000000,12.000000,-1.000000,1.583252,2,961
1460754738,75.000000,12.000000,0.506859,1.016602,3,389
1460754742,175.000000,8.000000,-1.000000,0.983307,1,415
1460754743,0.000000,12.000000,0.523320,0.916626,3,91
1460754746,150.000000,8.000000,-1.000000,1.633301,4,726
1460754749,100.000000,8.000000,-1.000000,0.799957,1,282
1460754771,150.000000,4.000000,0.497257,0.966644,3,496
1460754776,50.000000,8.000000,-1.000000,1.083252,3,516
1460754777,100.000000,8.000000,-1.000000,0.666595,1,171
1460754779,200.000000,12.000000,-1.000000,1.716614,4,990
