startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,QID21_TEXT,QID1_TEXT,QID2,QID3,QID4,QID22,QID5,QID6,QID7,QID10,QID11,QID12,QID13,QID13_10_TEXT,QID14,QID15,QID16,QID17,QID18,QID19,QID20,QID20_10_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Reference,Q1 - User Number (*For Official Use Only),Q2 - Age:,Q3 - Gender:,Q4 - Are you left or right handed?,Q5 - What hand do you use the computer mouse with?,Q21 - Which finger do you use for selection with a mouse.,Q6 - Do you have corrective lenses?,Q7 - Are you wearing them now?,Q8 - Do you have any visual impairments (such as color blindness)?,"Q10 - Rate your ability as a computer gamer: (1 = Low Ability, 5 = High Ability)","Q11 - Rate your ability as a gamer on a PC/Mac: (1 = Low Ability, 5 = High Abilit...","Q12 - Rate your ability with playing multiplayer network games: (1 = Low Ability,...",Q13 - Select all the game types you are experienced with: (Multiple choices may b...,Q13_10_TEXT - Other,"Q14 - How many hours a week, on average, do you spend playing video games?",Q15 - Do you play a musical instrument or sing?,Q16 - How often do you play or sing?,Q17 - How many hours per day do you use a PC/Mac with a mouse?,Q18 - Are you a digital artist?,Q19 - How often do you practice digital artwork?,Q20 - What is your field of study? (Multiple choices may be selected),Q20_10_TEXT - Other
2016-04-29 14:32:55,2016-04-29 14:34:14,IP Address,130.215.24.213,100,78,True,2016-04-29 14:34:15,R_27IGALDxIXtAmPI,,,,,33,22,Female,Right Handed,Right,Index Finger,No,,No,4,5,4,"Puzzle games,Point and click adventure games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,1 to 5 hours,No,,12 to 17 hours,Yes,2-3 times a week,"Interactive Media and Game Development,Computer Science",
2016-04-29 11:07:21,2016-04-29 11:09:15,IP Address,130.215.24.222,100,114,True,2016-04-29 11:09:17,R_8hVRVqYrBB3Pr0J,,,,,32,21,Female,Right Handed,Right,Index Finger,Yes,Yes,No,3,3,4,"Puzzle games,Point and click adventure games,Racing games,Sports games,Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any)",,Less than 1 hour,Yes,2-3 times a week,Less than 1 hour,No,,Biomedical Engineering,
2016-04-28 15:57:12,2016-04-28 15:59:44,IP Address,130.215.24.211,100,152,True,2016-04-28 15:59:45,R_3PL9AAq0OTpP51D,,,,,31,26,Male,Right Handed,Right,Index Finger,No,,No,4,4,3,"Puzzle games,Point and click adventure games,Massive Multiplayer Online (MMO),First Person Shooter (FPS),Turn-Based games (any)",,6 to 10 hours,No,,12 to 17 hours,Yes,2-3 times a week,"Interactive Media and Game Development,Other",Professional Writing
2016-04-28 15:56:54,2016-04-28 15:58:55,IP Address,130.215.24.214,100,120,True,2016-04-28 15:58:56,R_3CQqy5SXW5CRHEp,,,,,28,22,Male,Right Handed,Right,Index Finger,Yes,Yes,No,5,5,5,"Puzzle games,Point and click adventure games,Racing games,Sports games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,16 to 20 hours,Yes,Less than once a week,6 to 11 hours,Yes,4-6 times a week,"Interactive Media and Game Development,Computer Science",
2016-04-28 15:56:48,2016-04-28 15:58:37,IP Address,130.215.24.216,100,108,True,2016-04-28 15:58:38,R_2yfwkcTVQUiFsOc,,,,,29,22,Male,Right Handed,Right,Index Finger,No,,No,5,5,4,"Puzzle games,Point and click adventure games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,11 to 15 hours,No,,More than 18 hours,No,,"Interactive Media and Game Development,Computer Science",
2016-04-28 15:56:38,2016-04-28 15:58:36,IP Address,130.215.24.223,100,118,True,2016-04-28 15:58:37,R_1jrDUM5VcCMS2Rb,,,,,30,20,Male,Right Handed,Right,Index Finger,Yes,Yes,No,4,5,3,"Puzzle games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Multiplayer Online Battle Arena (MOBA)",,6 to 10 hours,Yes,2-3 times a week,1 to 5 hours,Yes,4-6 times a week,Interactive Media and Game Development,
2016-04-27 16:33:54,2016-04-27 16:39:25,IP Address,130.215.24.211,100,331,True,2016-04-27 16:39:26,R_1QmHf5G8khfdrQF,,,,,27,22,Male,Right Handed,Right,Index Finger,No,,No,4,3,4,"Puzzle games,Point and click adventure games,Racing games,Sports games,Massive Multiplayer Online (MMO),First Person Shooter (FPS)",,1 to 5 hours,No,,1 to 5 hours,No,,Other,Management information Systems
2016-04-26 16:02:09,2016-04-26 16:03:38,IP Address,130.215.24.211,100,88,True,2016-04-26 16:03:38,R_1GPQDlZtKuVZpzi,,,,,26,19,Male,Right Handed,Right,Index Finger,Yes,Yes,No,5,5,5,"Puzzle games,Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,11 to 15 hours,No,,12 to 17 hours,No,,Computer Science,
2016-04-26 12:06:58,2016-04-26 12:08:26,IP Address,130.215.24.211,100,88,True,2016-04-26 12:08:27,R_ONeVBaMgrOdS6zv,,,,,25,21,Female,Right Handed,Right,Index Finger,Yes,Yes,No,1,2,1,Puzzle games,,Less than 1 hour,No,,Less than 1 hour,No,,Biomedical Engineering,
