Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1491418965,0.000000,8.000000,0.917418,1.323999,1,23
1491418972,0.000000,8.000000,0.930348,1.928070,1,26
1491418978,175.000000,4.000000,-1.000000,4.558857,2,36
1491418983,25.000000,4.000000,-1.000000,1.012794,1,3
1491418985,125.000000,4.000000,-1.000000,1.872883,1,20
1491418987,0.000000,8.000000,-1.000000,1.156002,1,2
1491418989,175.000000,8.000000,-1.000000,4.678684,3,28
1491418994,150.000000,4.000000,0.703579,1.665901,1,21
1491419005,175.000000,4.000000,-1.000000,1.302986,1,3
1491419007,75.000000,4.000000,-1.000000,2.170914,1,9
1491419010,0.000000,8.000000,0.714040,0.947914,1,9
1491419014,400.000000,12.000000,-1.000000,13.007683,6,113
1491419029,100.000000,8.000000,-1.000000,1.899879,1,19
1491419032,50.000000,12.000000,-1.000000,1.129601,1,12
1491419033,200.000000,12.000000,0.292355,3.475838,1,63
1491419039,175.000000,12.000000,-1.000000,2.670830,1,25
1491419042,100.000000,12.000000,-1.000000,1.399826,1,16
1491419044,25.000000,4.000000,0.703645,1.204895,1,37
1491419048,400.000000,8.000000,-1.000000,5.223900,1,40
1491419054,0.000000,12.000000,-1.000000,2.375938,2,24
1491419057,100.000000,8.000000,-1.000000,3.671730,4,34
1491419061,50.000000,12.000000,-1.000000,2.621864,3,21
1491419064,175.000000,12.000000,-1.000000,4.298683,3,46
1491419069,0.000000,12.000000,-1.000000,0.595985,1,18
1491419070,100.000000,12.000000,0.329691,2.995789,4,52
1491419075,0.000000,4.000000,-1.000000,0.827957,1,5
1491419077,300.000000,12.000000,-1.000000,2.523926,1,30
1491419080,75.000000,4.000000,0.316300,0.506805,1,22
1491419083,25.000000,8.000000,0.307225,0.936752,1,97
1491419087,175.000000,4.000000,-1.000000,2.454803,2,24
1491419110,75.000000,8.000000,-1.000000,1.586716,1,17
1491419112,175.000000,12.000000,-1.000000,2.434753,2,36
1491419115,300.000000,4.000000,0.304807,3.099731,1,60
1491419122,300.000000,12.000000,-1.000000,5.587769,4,67
1491419128,0.000000,4.000000,0.299459,2.035950,1,46
1491419132,400.000000,8.000000,-1.000000,2.519745,1,25
1491419135,25.000000,4.000000,-1.000000,0.936905,1,4
1491419137,175.000000,12.000000,0.066227,3.602859,4,55
1491419143,25.000000,12.000000,-1.000000,2.776855,2,28
1491419147,50.000000,8.000000,-1.000000,0.942093,1,13
1491419148,100.000000,8.000000,0.882846,1.888016,2,50
1491419153,75.000000,4.000000,-1.000000,1.918839,1,31
1491419155,50.000000,12.000000,-1.000000,1.677795,2,25
1491419157,150.000000,12.000000,-1.000000,2.757980,3,33
1491419161,75.000000,4.000000,-1.000000,1.486877,1,16
1491419163,100.000000,8.000000,-1.000000,1.139755,1,7
1491419165,400.000000,4.000000,0.488451,5.663864,3,59
1491419172,400.000000,12.000000,-1.000000,4.451935,2,34
1491419177,125.000000,12.000000,-1.000000,2.664688,3,23
1491419181,100.000000,4.000000,0.510622,1.271866,1,17
1491419185,150.000000,4.000000,-1.000000,1.925720,1,25
1491419187,150.000000,8.000000,-1.000000,3.017670,2,38
1491419191,200.000000,12.000000,-1.000000,3.851730,3,58
1491419195,400.000000,12.000000,0.083862,4.503967,1,76
1491419202,0.000000,12.000000,-1.000000,1.404144,2,21
1491419204,200.000000,12.000000,-1.000000,2.408020,2,28
1491419207,150.000000,12.000000,-1.000000,1.425964,2,8
1491419209,150.000000,8.000000,-1.000000,5.045929,2,45
1491419214,400.000000,4.000000,-1.000000,7.503815,1,59
1491419222,400.000000,12.000000,-1.000000,6.683807,3,43
1491419250,400.000000,12.000000,-1.000000,3.927917,2,24
1491419254,50.000000,4.000000,-1.000000,1.121948,2,8
