V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q18,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_10_TEXT,Q13,Q16,Q14,Q15,Q17,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_10_TEXT,Q21,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,ID,Age,Gender,Are you left handed or right handed?,Do you have corrective lenses?,Are you wearing them now?,Do you have any visual impairments (such as color blindness)?,Is English your native language?,"Rate your ability as a computer gamer: (1 = Low Ability, 5 = High Ability)","Rate your ability as a gamer on a console (Xbox, Playstation, ...)","Rate your ability with playing multiplayer network games: (1 = Low Ability, 5 = High Ability)",Select all the game types you are experienced with: (Multiple choices may be selected)-First Person Shooter (FPS),Select all the game types you are experienced with: (Multiple choices may be selected)-Real Time Strategy (RTS),Select all the game types you are experienced with: (Multiple choices may be selected)-Massive Multiplayer Online (MMO),Select all the game types you are experienced with: (Multiple choices may be selected)-Turn Based game (any),Select all the game types you are experienced with: (Multiple choices may be selected)-Puzzle games,Select all the game types you are experienced with: (Multiple choices may be selected)-Point and click adventure games,Select all the game types you are experienced with: (Multiple choices may be selected)-Multiplayer Online Battle Arena (MOBA),Select all the game types you are experienced with: (Multiple choices may be selected)-Racing games,Select all the game types you are experienced with: (Multiple choices may be selected)-Sports games,Select all the game types you are experienced with: (Multiple choices may be selected)-Other,Select all the game types you are experienced with: (Multiple choices may be selected)-Other-TEXT,"How many hours a week, on average, do you spend playing video games?","How many hours a week, on average, do you use a game controller to play games?",Do you play a musical instrument or sing?,How often do you play or sing?,Are you a digital artist?,How often do you practice digital artwork?,What is your field of study? (Multiple choices may be selected)-Mechanical Engineering,What is your field of study? (Multiple choices may be selected)-Biology and Biotechnology,What is your field of study? (Multiple choices may be selected)-Robotics Engineering,What is your field of study? (Multiple choices may be selected)-Biomedical Engineering,What is your field of study? (Multiple choices may be selected)-Electrical and Computer Engineering,What is your field of study? (Multiple choices may be selected)-Computer Science,What is your field of study? (Multiple choices may be selected)-Interactive Media and Game Development,What is your field of study? (Multiple choices may be selected)-Chemical Engineering,What is your field of study? (Multiple choices may be selected)-Civil Engineering,What is your field of study? (Multiple choices may be selected)-Other,What is your field of study? (Multiple choices may be selected)-Other-TEXT,Please tell the user study facilitator and proceed with the study,LocationLatitude,LocationLongitude,LocationAccuracy
R_1gp6mvk66qbsjMy,Default Response Set,Anonymous,,,130.215.24.216,0,3/28/2017 10:05,3/28/2017 10:45,1,0,25,1,2,2,2,2,2,5,2,5,1,1,1,,1,1,1,,,,,6,1,2,1,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3KwJyWk71cImC7N,Default Response Set,Anonymous,,,130.215.24.216,0,3/28/2017 10:45,3/28/2017 12:53,1,1,22,1,2,2,2,2,1,5,2,3,,,1,1,,,1,,,,,2,1,1,5,2,1,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_3qCAY8BHsbi2wVA,Default Response Set,Anonymous,,,130.215.24.216,0,3/28/2017 12:53,3/28/2017 13:08,1,2,21,1,2,1,1,1,2,5,3,5,1,1,1,,,,1,,,,,4,1,1,3,1,3,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_sFsuIGwkMcW4y3f,Default Response Set,Anonymous,,,130.215.24.220,0,3/28/2017 13:09,3/28/2017 13:21,1,3,21,1,2,1,1,2,1,4,2,4,1,,1,1,1,1,1,,,,,5,1,2,1,2,1,,1,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_b1a0WDbtNmCwQlb,Default Response Set,Anonymous,,,130.215.24.220,0,3/28/2017 13:21,3/28/2017 13:23,1,4,20,1,2,1,1,2,2,5,3,5,1,1,,1,1,1,1,,,,,4,1,2,1,2,2,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_0e9kmbwjpHE0zol,Default Response Set,Anonymous,,,130.215.24.216,0,3/29/2017 12:07,3/29/2017 12:35,1,5,18,2,2,2,2,2,1,3,2,3,1,,,1,1,1,,1,,,,2,1,1,4,1,4,,,,,,,1,,,,,1,42.28570557,-71.82920074,-1
R_2uyPvBIXwV1mpqx,Default Response Set,Anonymous,,,130.215.24.216,0,3/29/2017 12:35,3/29/2017 13:06,1,6,18,1,2,1,1,2,1,5,4,5,1,1,1,1,1,1,1,1,,,,4,2,1,2,2,1,,,,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_1K9bKYcSBm7FUrA,Default Response Set,Anonymous,,,130.215.24.197,0,4/3/2017 10:38,4/3/2017 11:02,1,8,19,2,2,1,2,2,2,3,1,3,,,,,1,1,,1,,,,1,1,1,1,1,2,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
R_DT57SBdMsvFDCy5,Default Response Set,Anonymous,,,130.215.24.218,0,4/3/2017 11:07,4/3/2017 11:21,1,9,18,1,1,1,1,2,1,4,2,4,1,1,,1,,1,,1,,,,3,1,2,,1,3,,,1,,,1,,,,,,1,42.28570557,-71.82920074,-1
