Time,Delay,Impulse,Response,Elapsed,Triggers,Thumbstick
1490812584,0.000000,8.000000,0.923783,1.351927,1,62
1490812598,0.000000,8.000000,0.922416,2.243874,1,50
1490812605,400.000000,12.000000,0.119402,12.735466,22,34738
1490812622,175.000000,4.000000,-1.000000,2.982834,5,24
1490812626,200.000000,12.000000,-1.000000,0.844009,1,0
1490812628,150.000000,12.000000,-1.000000,0.501862,1,0
1490812630,25.000000,4.000000,-1.000000,1.137016,3,10
1490812632,400.000000,8.000000,0.274430,9.979553,7,80
1490812644,400.000000,12.000000,-1.000000,7.763634,6,77
1490812652,25.000000,4.000000,0.311252,2.732750,2,61
1490812663,100.000000,12.000000,-1.000000,3.267975,5,32
1490812667,25.000000,12.000000,-1.000000,1.033028,1,1
1490812668,400.000000,12.000000,-1.000000,16.767441,9,129
1490812686,100.000000,12.000000,-1.000000,2.855774,2,23
1490812689,25.000000,8.000000,-1.000000,2.072800,2,13
1490812692,0.000000,4.000000,-1.000000,1.803955,2,8
1490812694,0.000000,4.000000,0.496043,1.135864,1,39
1490812703,25.000000,8.000000,-1.000000,2.160828,2,19
1490812705,50.000000,12.000000,-1.000000,1.569748,1,19
1490812707,75.000000,4.000000,-1.000000,1.898743,1,22
1490812710,75.000000,12.000000,-1.000000,0.906937,1,5
1490812711,0.000000,4.000000,-1.000000,1.339966,1,15
1490812713,75.000000,4.000000,-1.000000,1.790665,2,22
1490812715,25.000000,8.000000,-1.000000,1.976990,3,24
1490812718,300.000000,12.000000,-1.000000,6.519669,1,70
1490812725,400.000000,12.000000,-1.000000,12.067749,4,121
1490812737,50.000000,8.000000,-1.000000,2.341980,1,9
1490812740,100.000000,12.000000,0.290424,0.539795,1,20
1490812746,400.000000,4.000000,-1.000000,6.543640,2,32
1490812753,100.000000,12.000000,-1.000000,1.383896,1,7
1490812776,175.000000,8.000000,-1.000000,3.258774,3,23
1490812780,175.000000,4.000000,-1.000000,1.270691,1,6
1490812782,300.000000,12.000000,-1.000000,10.951706,7,74
1490812793,150.000000,8.000000,0.298868,2.229889,1,39
1490812800,175.000000,12.000000,0.715762,1.886902,2,43
1490812807,0.000000,8.000000,-1.000000,1.527893,2,18
1490812809,75.000000,8.000000,-1.000000,1.338806,2,16
1490812811,150.000000,8.000000,-1.000000,1.209732,1,11
1490812812,100.000000,8.000000,-1.000000,0.891815,1,6
1490812813,50.000000,12.000000,-1.000000,1.017822,2,9
1490812815,300.000000,4.000000,-1.000000,2.287720,2,19
